,Unnamed: 0_level_0,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,Unnamed: 0_level_1,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,B/Ca_std,BOH4_HCO3,BT,DIC,PO4,TA,TP,TS,depth_m,n,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_MgCa,temp_C_d18O,temp_C_std,Core,Description,Site,comments,core_depth_m,doi,lat,lon,sample_depth,shortref,site_info,size_fraction,species
36,20,355.05056664197855,58.26717125207989,413.3177378940584,31.15150439815804,128.07249711024744,3119.0973468791985,2959.873345370793,455.0,34.79942464828493,3274.885870342965,1.50347900390625,526.6932586933933,,,,131.219722191361,,,,3.207,0.0196999041402865,413.61601867675796,,,,,,4550.0,,7.8607273927917305,,,,1.50347900390625,,,,,,,,,10.1016/j.epsl.2011.08.023,5.0331,-42.733000000000004,3-5,Brown2011,,,N. umbonifera
37,21,355.05056664197855,58.26717125207989,413.3177378940584,31.15150439815804,128.07249711024744,3119.0973468791985,2959.873345370793,455.0,34.79942464828493,3274.885870342965,1.50347900390625,526.6932586933933,,,,131.465989037724,,,,6.733,0.0196999041402865,413.61601867675796,,,,,,4550.0,,7.8607273927917305,,,,1.50347900390625,,,,,,,,,10.1016/j.epsl.2011.08.023,5.0331,-42.733000000000004,89-91,Brown2011,,,N. umbonifera
38,22,351.50480704065063,62.52988311389435,414.03469015454493,30.179749113897792,149.2384971738334,3298.98301675371,3119.564770465979,430.0,34.85978868272569,3481.259736058654,1.99832403659821,520.101897201727,,,,134.424396527571,,,,3.207,0.020058890879573996,414.33348834325403,,,,,,4300.0,,7.9029372332472,,,,1.99832403659821,,,,,,,,,10.1016/j.epsl.2011.08.023,4.4753,-43.227,3-5,Brown2011,,,N. umbonifera
39,23,351.50480704065063,62.52988311389435,414.03469015454493,30.179749113897792,149.2384971738334,3298.98301675371,3119.564770465979,430.0,34.85978868272569,3481.259736058654,1.99832403659821,520.101897201727,,,,113.89619872744801,,,,3.207,0.020058890879573996,414.33348834325403,,,,,,4300.0,,7.9029372332472,,,,1.99832403659821,,,,,,,,,10.1016/j.epsl.2011.08.023,4.4753,-43.227,71-72,Brown2011,,,N. umbonifera
40,24,350.56358972960373,64.00016352318244,414.56375325278617,29.38564744574008,160.55795367329642,3339.1121415457037,3149.1685404266664,366.9,34.904333326551644,3535.0351152584867,2.37507700920105,513.7768229099696,,,,147.965265277477,,,,7.06994681893319,0.020337543060402,414.86293325272794,,,,,,3669.0,,7.94302732748955,,,,2.37507700920105,,,,,,,,,10.1016/j.epsl.2011.08.023,4.7833,-43.4833,0-1,Brown2011,,,N. umbonifera
41,25,350.2973235591475,64.00977790943841,414.30710146858587,29.70243081990888,157.407780371856,3350.3291820351074,3163.2189708433425,410.7,34.88272444407146,3542.769411147818,2.18963503837585,515.646958255771,,,,140.281273854824,,,,7.06994681893319,0.0202502491008468,414.60609624953497,,,,,,4107.0,,7.92246408609869,,,,2.18963503837585,,,,,,,,,10.1016/j.epsl.2011.08.023,4.875,-43.08,0-0.5,Brown2011,,,N. umbonifera
42,26,351.5034094910343,62.53128066351059,414.03469015454493,30.179599625975353,149.2402271268811,3299.0625734230653,3119.642746670209,430.0,34.85978868272569,3481.3424130978638,1.99517703056335,520.0375993675599,,,,156.589232941565,,,,4.35,0.0200588378100422,414.33348834325403,,,,,,4300.0,,7.902985526770871,,,,1.99517703056335,,,,,,,,,10.1016/j.epsl.2011.08.023,4.9167,-43.05,0-0.5,Brown2011,,,N. umbonifera
43,27,364.9094286954122,47.28224041369868,412.1916691091109,32.512964737974464,85.87497563272895,2583.745320030348,2465.3573796596443,399.5,34.7046149117606,2684.8447780068177,0.8425778150558471,535.6937646205006,,,,108.59084426470699,,,,4.35,0.0191924964636338,412.48913723692596,,,,,,3995.0,,7.796070657765861,,,,0.8425778150558471,,,,,,,,,10.1016/j.epsl.2011.08.023,-60.284,-170.023,5-7,Brown2011,,,N. umbonifera
44,28,363.11222049701865,49.08657486673856,412.1987953637571,32.52776123922145,91.39852496829607,2682.276643225602,2558.350357018084,432.4,34.70521490914481,2790.702752988821,0.851470410823822,536.1226839735119,,,,76.3677467140518,,,,7.06994681893319,0.019200653753609,412.496268634407,,,,,,4324.0,,7.79670711928117,,,,0.851470410823822,,,,,,,,,10.1016/j.epsl.2011.08.023,-58.688,-169.979,5-7,Brown2011,,,N. umbonifera
45,29,366.17373473499975,45.84389204709295,412.0176267820927,33.15786060221869,84.0945378433944,2557.910152303696,2440.6577538580827,369.4,34.6899613600511,2655.1601069490416,1.4783079624176,559.7131588309167,,,,90.00579127807708,,,,5.33,0.0187969723868728,412.314969308036,,,,,,3694.0,,7.7897552619387005,,,,1.4783079624176,,,,,,,,,10.1016/j.epsl.2011.08.023,6.157,-138.27700000000002,top,Brown2011,,,N. umbonifera
