,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,derived,derived,derived,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,BOH4/DIC,BOH4_HCO3,deep_omega,B/Ca,DIC,PO4,TA,pHtot,pHtot_std,sal,sal_std,temp_C,temp_C_std,Description,Site,doi,lat,lon,shortref,size_fraction,species
35,302.99214334462147,108.07577094109284,411.06791428571427,8.426647958801196,260.06123861487924,1905.3,1636.8121134263195,,34.61,2276.1000000000004,29.41,330.6028731066503,0.0574,0.0668,0.92,103.2,1905.3,0.151,2276.1,8.107999999999999,0.064,34.61,0.51,29.41,0.36,sensu stricto,GGC48,10.1002/2014GC005514,0,161,Henehan2015,300-355,Globigerinoides ruber (white)
36,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,131.1,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu stricto,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,300-355,Globigerinoides ruber (white)
37,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,144.7,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu stricto,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,300-355,Globigerinoides ruber (white)
38,324.4313312100966,112.1724402184748,436.6037714285714,9.237359870774563,269.952061920631,2013.6,1734.4105782085946,,36.76,2396.7,28.38,357.63343004602143,0.0564,0.0656,1.34,136.7,2013.6,0.40299999999999997,2396.7,8.092,0.068,36.76,1.23,28.38,5.55,sensu stricto,MC120,10.1002/2014GC005514,12.47,45.38,Henehan2015,300-355,Globigerinoides ruber (white)
39,301.6260333923929,120.48762375046422,422.11365714285716,7.42140448834354,287.64888126210764,1926.0,1630.929714249549,,35.54,2337.900000000001,27.59,280.2465895715402,0.0633,0.0747,0.98,110.9,1926.0,0.077,2337.9,8.173,0.013000000000000001,35.54,0.48,27.59,1.08,sensu stricto,MC420,10.1002/2014GC005514,17.04,?66.00,Henehan2015,300-355,Globigerinoides ruber (white)
40,301.6260333923929,120.48762375046422,422.11365714285716,7.42140448834354,287.64888126210764,1926.0,1630.929714249549,,35.54,2337.900000000001,27.59,280.2465895715402,0.0633,0.0747,0.98,117.8,1926.0,0.077,2337.9,8.173,0.013000000000000001,35.54,0.48,27.59,1.08,sensu stricto,MC420,10.1002/2014GC005514,17.04,?66.00,Henehan2015,355-400,Globigerinoides ruber (white)
41,312.4710552997554,119.50063041453035,431.97168571428574,7.966054318190731,283.68426269630055,1970.2,1678.5496829855088,,36.37,2375.7,26.86,296.817481891084,0.0613,0.0719,1.22,178.4,1970.2,0.48200000000000004,2375.7,8.156,0.02,36.37,0.21,26.86,3.64,sensu stricto,MC497,10.1002/2014GC005514,23.53,63.31,Henehan2015,355-400,Globigerinoides ruber (white)
42,309.6864404517233,115.75281669113392,425.4392571428572,7.964347284454918,266.6547501269145,1978.9,1704.2809025886306,,35.82,2360.7,21.95,261.1455957493115,0.0592,0.0686,1.65,114.1,1978.9,0.19899999999999998,2360.7,8.207,0.03,35.82,0.11,21.95,3.98,sensu stricto,G4,10.1002/2014GC005514,?28.42,167.25,Henehan2015,355-400,Globigerinoides ruber (white)
43,293.29648496224695,119.90931503775299,413.2058,7.0688780107496205,286.5143983376349,1876.2,1582.6167236516155,,34.79,2287.699999999999,28.63,272.5730385877063,0.0647,0.0766,2.59,114.7,1876.2,0.215,2287.7,8.175,0.023,34.79,0.24,28.63,1.45,sensu stricto,T329,10.1002/2014GC005514,?12.96,173.57,Henehan2015,355-400,Globigerinoides ruber (white)
44,316.29206197079736,89.90622374348843,406.1982857142858,10.811162486737555,209.27369449295117,1962.4999999999998,1742.415143020311,,34.2,2257.400000000001,24.5,375.62233830106345,0.0465,0.0526,0.88,115.3,1962.5,0.653,2257.4,8.059,0.055999999999999994,34.2,0.26,24.5,1.4,sensu stricto,ODP 847a,10.1002/2014GC005514,0.2,?95.32,Henehan2015,300-355,Globigerinoides ruber (white)
45,307.4975281835247,115.09121467361811,422.58874285714285,8.103039708029003,275.8413053979785,1950.2,1666.2556548939924,,35.58,2343.6,27.73,307.07599117018856,0.0597,0.0699,1.47,113.8,1950.2,0.168,2343.6,8.138,0.004,35.58,0.81,27.73,0.77,sensu stricto,ODP 925a,10.1002/2014GC005514,4.2,?43.48,Henehan2015,300-355,Globigerinoides ruber (white)
46,311.1688734078245,113.67652659217556,424.84540000000004,8.312816453487939,269.37347524959637,1956.8,1679.1137082969155,,35.77,2341.3000000000006,26.81,308.41312945042677,0.0588,0.0685,0.98,108.0,1956.8,0.11699999999999999,2341.3,8.137,0.073,35.77,0.35,26.81,3.97,sensu stricto,ODP 664a,10.1002/2014GC005514,0.1,?23.23,Henehan2015,300-355,Globigerinoides ruber (white)
47,301.7379365170699,118.71292062578723,420.4508571428571,7.491400030131174,281.5625807793289,1909.6,1620.5460191905402,,35.4,2313.500000000001,27.75,283.77332801995846,0.0629,0.0741,1.44,112.4,1909.6,0.08199999999999999,2313.5,8.163,0.018000000000000002,35.4,0.24,27.75,0.7,sensu stricto,ODP 668a,10.1002/2014GC005514,4.77,?20.93,Henehan2015,300?355,Globigerinoides ruber (white)
48,306.2612820429186,118.58411795708147,424.84540000000004,7.830867888038616,285.6009788765496,1955.6000000000001,1662.1681532354119,,35.77,2363.000000000001,27.88,298.1131739539445,0.0613,0.07200000000000001,1.15,119.5,1955.6,0.077,2363.0,8.158,0.019,35.77,0.32,27.88,0.98,sensu stricto,ODP 999a,10.1002/2014GC005514,12.75,?78.73,Henehan2015,300-355,Globigerinoides ruber (white)
49,299.9056769543999,110.21206590274294,410.11774285714284,8.091459697243595,264.9970347297813,1891.8,1618.7115055729748,,34.53,2270.4000000000005,29.5,317.98780981888183,0.059000000000000004,0.0689,1.03,111.0,1891.8,0.132,2270.4,8.115,0.023,34.53,0.25,29.5,0.19,sensu stricto,ODP 806a,10.1002/2014GC005514,0.32,159.37,Henehan2015,300-355,Globigerinoides ruber (white)
50,296.6419484214155,127.96590872144164,424.60785714285714,6.698796379709905,303.1451311826834,1896.2,1586.3560724376068,,35.75,2332.7999999999997,27.72,254.01876348638143,0.0693,0.0826,1.31,113.4,1896.2,0.142,2332.8,8.192,0.042,35.75,0.62,27.72,0.74,sensu stricto,GeoB1523-1,10.1002/2014GC005514,3.83,?41.62,Henehan2015,300-355,Globigerinoides ruber (white)
51,311.1688734078245,113.67652659217556,424.84540000000004,8.312816453487939,269.37347524959637,1956.8,1679.1137082969155,,35.77,2341.3000000000006,26.81,308.41312945042677,0.0588,0.0685,0.98,113.7,1956.8,0.11699999999999999,2341.3,8.141,0.008,35.77,0.35,26.81,3.97,sensu stricto,ODP 664,10.1002/2014GC005514,0.1,?23.23,Henehan2015,355-425,Globigerinoides ruber (white)
