,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,DIC,TA,TP,TS,depth_m,sal,temp_C,temp_C_MgCa,temp_C_d18O,core_depth_m,doi,lat,lon,shortref,site_info,species
24,346.3598845634214,68.91040040800718,415.27028497142857,16.276969427192643,149.3011995247559,2085.94824,1920.3700710480516,7.575,34.96382,2292.424,16.3869,454.4521980467222,73.0433841548099,2085.94824,2292.424,1.6653,16.4333,75.75,34.96382,16.3869,10.0555115201343,15.1543104888288,1944.0,10.1016/j.epsl.2017.03.007,1.485,-89.855,Krupinski2017,"VNTR01-14GC, 4-6",N. incompta
25,338.21321078898984,76.68508206815302,414.89829285714285,13.949131528885705,167.30948215733082,2045.0308,1863.7721863137835,6.25,34.9325,2280.1599999999994,17.64,403.89211399795596,67.2928518515884,2045.0308,2280.16,1.53,14.685,62.5,34.9325,17.64,9.00355505233978,20.5306364151924,1955.0,10.1016/j.epsl.2017.03.007,1.485,-89.862,Krupinski2017,"VNTR01-15GC, 3-5",N. incompta
26,343.0464257868533,71.74853592743237,414.7949617142857,15.326520697232045,155.89322588928135,2066.0445,1894.8247534134866,7.0,34.9238,2283.17,17.05,436.22317843686596,72.4694756911804,2066.0445,2283.17,1.65,15.83,70.0,34.9238,17.05,11.993425936839,16.9505891595151,1546.0,10.1016/j.epsl.2017.03.007,2.605,-89.727,Krupinski2017,"VNTR01-16PC, 4-6",N. incompta
27,339.5053134563564,74.99034425792938,414.49565771428576,14.379098667795144,163.70094231581874,2048.7671,1870.687059016386,6.5,34.8986,2278.1500000000005,17.75,417.58605125436844,73.187115900198,2048.7671,2278.15,1.58,14.98,65.0,34.8986,17.75,11.367779328228,17.7556103697893,1758.0,10.1016/j.epsl.2017.03.007,2.445,-89.328,Krupinski2017,"VNTR01-17PC, 5-7",N. incompta
28,355.2306224366626,59.45982042048027,414.6904428571429,19.7914494326909,127.19459289878884,2124.7301,1977.7440576685206,11.25,34.915,2295.5200000000004,14.955,529.2882934747738,52.4507767918783,2124.7301,2295.52,1.735,18.69,112.5,34.915,14.955,5.49842637267409,14.9592930890408,3765.0,10.1016/j.epsl.2017.03.007,2.76,-110.552,Krupinski2017,"VNTR01-6GC, 3-4",N. incompta
29,346.52304885426315,69.03680086002258,415.55984971428575,16.269233278305812,149.0517707826982,2092.5589,1927.2378959389957,9.125,34.9882,2298.770000000001,15.787,446.28587631884403,62.0821116392325,2092.5589,2298.77,1.6295,16.45,91.25,34.9882,15.787,4.79964527435272,15.8093714566064,3791.0,10.1016/j.epsl.2017.03.007,0.037,-110.48,Krupinski2017,"VNTR01-8PC, 2-3",N. incompta
30,358.16869541433766,57.06334515709095,415.2320405714286,20.933631523732544,120.80141294327326,2145.42514,2003.690095532994,13.0,34.9606,2306.1220000000003,13.498,535.5208552224396,48.5672935715362,2145.42514,2306.122,1.872,19.434,130.0,34.9606,13.498,5.62727506578256,17.5335586756264,3860.0,10.1016/j.epsl.2017.03.007,-3.002,-110.498,Krupinski2017,"VNTR01-9GC, 5-7",N. incompta
0,330.4034003300744,89.97619395563987,420.3795942857143,11.821344955524685,210.50265603769583,2011.8935,1789.5694990067796,12.5,35.394,2308.309999999998,26.05,429.65870488175767,55.3634522351171,2011.8935,2308.31,0.62,3.5,125.0,35.394,26.05,15.4113194041237,18.0263399295976,2168.0,10.1016/j.epsl.2017.03.007,-1.625,159.235,Krupinski2017,"ERDC112BX, 5-8",G. bulloides
1,,,376.7429714285714,,,1990.2700000000002,,2.02,31.72,,9.85,,22.8775783758034,1990.27,2161.56,,19.0,20.2,31.72,9.85,8.11810711955819,5.23902024642108,296.0,10.1016/j.epsl.2017.03.007,55.55174,-134.70829,Krupinski2017,"EW0408-15MC8, 2-4",G. bulloides
2,,,,,,,,,,,,,30.5324724176164,,,,,,,,,,238.0,10.1016/j.epsl.2017.03.007,59.43988,-140.25412,Krupinski2017,"EW0408-68,MC1, 1-3",G. bulloides
