Sample,Date,Time,6Li,7Li,7Li/6Li,Beta,6Li_SE,7Li_SE,7Li/6Li_SE,Beta_SE,Run
6Li ext std,08/10/18,00:11:51,0.026324702416895,0.374175141541145,14.2133520124443,-1.00546487640191,3.70740321512181E-05,0.000531759556443,0.000909484147285,0.000415676479064,4
Wash,08/10/18,00:16:47,0.000327932796767,0.001285719531387,3.92278772188098,7.36074837073849,1.9111137362147E-06,6.92872226468718E-06,0.028242530112981,0.04658214156338,4
Blank,08/10/18,00:19:58,0.000320799561405,0.001214326599718,3.77582079646995,7.58954261218103,1.66536854307811E-06,6.63880936205846E-06,0.020957960494156,0.038646498622955,4
L-SVEC,08/10/18,00:22:51,0.025332373382917,0.36272673441134,14.3187049241246,-1.05343845933189,3.3393283651553E-05,0.000477412173084,0.00097792829129,0.000443679566182,4
Wash,08/10/18,00:27:40,0.000317946040678,0.001312495609953,4.11974727138493,7.02256345182695,3.85907176679576E-06,1.265886093133E-05,0.023711181909913,0.039953643485821,4
Blank,08/10/18,00:30:51,0.000316718082504,0.001246501364893,3.93715257033186,7.33555520358976,2.5040108877079E-06,9.00189605402298E-06,0.020904887380932,0.034396172673307,4
6Li ext std,08/10/18,00:33:44,0.027176187062782,0.386160677836358,14.2094863591892,-1.00369793437157,3.37020468978E-05,0.000477389557865,0.000793637759102,0.000362812914974,4
Wash,08/10/18,00:38:39,0.000325566204774,0.00138285319342,4.24816452684974,6.84103687121004,1.65181744457652E-06,7.3125912833805E-06,0.018018522765192,0.027619716168786,4
Blank,08/10/18,00:41:49,0.000328544601874,0.001346162817837,4.0871289245929,7.09228488532065,1.6913274593778E-06,6.94678181562597E-06,0.019440729037752,0.030889858400607,4
L-SVEC,08/10/18,00:44:42,0.025232098614776,0.360995901658806,14.3081547042977,-1.04865039272764,1.04468068968235E-05,0.000143790347577,0.000793043494064,0.000360064372058,4
Wash,08/10/18,00:50:00,0.000343440977744,0.001500773152989,4.37138520387355,6.65603095617433,1.99367209313312E-06,7.58375058722072E-06,0.023978271169031,0.035569475856021,4
Blank,08/10/18,00:53:12,0.000345958663765,0.001460264031133,4.23353065973426,6.86312641986973,1.01792451255994E-06,7.05143952784216E-06,0.015515647331104,0.023847993005513,4
Blank,08/10/18,02:09:49,0.000352125223127,0.001760768174951,4.96575025125912,5.82746853562957,4.76432682617264E-06,1.48533453657194E-05,0.025500962550883,0.033260960222596,4
L-SVEC,08/10/18,02:12:42,0.027255766665513,0.389960172492551,14.3075163668943,-1.04836058923669,2.57782393730919E-05,0.000372072320114,0.000752212261032,0.000341531949007,4
Wash,08/10/18,02:18:01,0.000389205340242,0.002010334605681,5.15290582621009,5.58731606656956,2.89050262649318E-06,1.08799774660245E-05,0.02726919283923,0.034304982122427,4
Blank,08/10/18,02:21:13,0.000388970157922,0.00194762640303,5.01743703561124,5.75926044940915,1.24329850709741E-06,7.88343195322402E-06,0.014817255673062,0.0191638456951,4
C1.1 pre,08/10/18,02:24:04,0.073083414307221,0.34870323929471,4.77145167280175,6.08530507047112,0.000114083906641,0.000541519897344,0.000191229944736,0.000260353417646,4
Wash,08/10/18,02:28:59,0.000415542172191,0.001987567980726,4.79587958287495,6.05342386717565,2.1068214266302E-06,1.25506452400677E-05,0.022548841357787,0.03053277777259,4
Blank,08/10/18,02:32:11,0.00040969674171,0.001932288137909,4.72548377033476,6.14896312686457,2.05064854097187E-06,1.12373559390055E-05,0.017154955485152,0.023595399806384,4
L-SVEC,08/10/18,02:35:02,0.026955512706573,0.385219029054144,14.2914563461175,-1.04106447401631,3.53650876271695E-05,0.000507349236465,0.000944241007288,0.000429233911146,4
Wash,08/10/18,02:39:52,0.000408118683696,0.002035076142174,4.98854085961298,5.79675890068578,2.05976304396088E-06,1.16549324346501E-05,0.014833584668405,0.019281884431741,4
Blank,08/10/18,02:43:03,0.00040265643411,0.001962960106344,4.88997358937263,5.92709745144455,1.981571888381E-06,1.14239810611523E-05,0.022008549895597,0.029241405828218,4
C1.1 pre,08/10/18,02:45:54,0.074195767314039,0.353756885662022,4.76801990453303,6.08997908247005,5.71893968852694E-05,0.000278819225468,0.000256421590637,0.000349338399243,4
Wash,08/10/18,02:50:48,0.000445564845086,0.002093900779563,4.71272194634335,6.16687207528852,2.52226823624621E-06,1.26394133979408E-05,0.020568886369574,0.028328917028803,4
Blank,08/10/18,02:54:01,0.000443555993179,0.002068942711951,4.66794689378236,6.21493329964326,2.36714290957023E-06,1.51170023400798E-05,0.014771730113115,0.023562035656546,4
L-SVEC,08/10/18,02:56:52,0.026355048158018,0.376250160257887,14.2766608949829,-1.03433593112868,1.99946948535808E-05,0.000297077185482,0.000588770611052,0.000267909173414,4
Wash,08/10/18,03:01:42,0.00045324145121,0.00222369068836,4.91701947974061,5.89049355669979,2.63575685297131E-06,1.21761360783747E-05,0.013015924123209,0.017243125655501,4
Blank,08/10/18,03:04:55,0.000457107113006,0.002253107280625,4.91412850004916,5.89550524541212,2.44427961245815E-06,2.13769634130963E-05,0.025839326712318,0.033933963581439,4
C1.1 post,08/10/18,03:07:46,0.073156819859371,0.349011398572083,4.77083973821889,6.0861382471538,6.77641823188814E-05,0.00032228552827,0.000187409862496,0.000255184086794,4
Wash,08/10/18,03:12:41,0.000467896416068,0.002155535910825,4.61773515469335,6.29854786651569,2.1354464684946E-06,1.26238126364632E-05,0.013771009332824,0.019314737202179,4
Blank,08/10/18,03:15:52,0.000444732138331,0.002045454114315,4.59140448027693,6.3360525531877,5.55228573439882E-06,2.04076941499789E-05,0.017767415872928,0.025126137876558,4
L-SVEC,08/10/18,03:18:43,0.026853117298927,0.383221050032804,14.2706956295612,-1.03162102947093,2.64317014531131E-05,0.00037923133144,0.000630205660035,0.000286872778246,4
Wash,08/10/18,03:23:33,0.000454119340737,0.002221493120559,4.89983350480158,5.91340552393406,2.2390003213549E-06,1.32733349525589E-05,0.015410437622951,0.020421619252829,4
Blank,08/10/18,03:26:46,0.000451049337908,0.002140381945211,4.74607211643109,6.12072306061218,2.67764344274862E-06,1.19335748776844E-05,0.016761766232985,0.023003959675545,4
C1.1 post,08/10/18,03:29:37,0.074766155713742,0.356440790966781,4.76769842681042,6.09041702626409,8.79739359466885E-05,0.000438129528417,0.000213031076759,0.00029026323337,4
Wash,08/10/18,03:34:32,0.000480777623648,0.002225681479269,4.63829980436304,6.26961539301044,2.24099573437146E-06,1.15186759587985E-05,0.012861253002732,0.018065099757321,4
Blank,08/10/18,03:37:42,0.000476636934357,0.002175345110906,4.56408163905428,6.37463570219667,2.52568363540444E-06,1.29908669170734E-05,0.015199292170411,0.021641395783803,4
L-SVEC,08/10/18,03:40:33,0.026529005422173,0.378206939391395,14.2563573463277,-1.02509069335575,1.08129919776154E-05,0.000151180394561,0.000869987359945,0.000396426442118,4
Wash,08/10/18,03:45:53,0.00048125292017,0.002304791911615,4.79876157083561,6.04894306632556,2.87307840433564E-06,1.36638985476273E-05,0.016769940393799,0.022692422170144,4
Blank,08/10/18,03:49:05,0.000469876644863,0.002217045960464,4.71819655477361,6.15865254507692,2.43295547834283E-06,1.50696256746861E-05,0.013247538256027,0.01822753613156,4
C2.1 pre,08/10/18,03:51:56,0.07594143183067,0.363157012814281,4.78229881527146,6.07055379765558,8.55874861242285E-05,0.000409400085984,0.000178073526932,0.000241907808284,4
Wash,08/10/18,03:56:51,0.000501320213517,0.002306571132811,4.60979448205057,6.30985263204877,2.35665961891057E-06,1.38888484590178E-05,0.01530883360525,0.021508691061845,4
Blank,08/10/18,04:00:03,0.000491919486288,0.002243641868104,4.56172044241196,6.37847516253957,2.90076408474102E-06,1.34374996332851E-05,0.019813318176292,0.028185821629749,4
L-SVEC,08/10/18,04:02:55,0.026482913272761,0.377225418965461,14.2433129165659,-1.01914411323293,1.87804314907562E-05,0.00027008233585,0.000742271219495,0.000338525503501,4
Wash,08/10/18,04:07:44,0.000497385401681,0.002420938058277,4.85998037877968,5.96620943964751,2.92665185133284E-06,1.63579402650058E-05,0.011535883985546,0.015398207927802,4
Blank,08/10/18,04:10:57,0.000495129921236,0.002346014971533,4.74754146055073,6.11860820541562,2.71965583814116E-06,1.41520662314425E-05,0.016033706069798,0.021979777241915,4
C2.1 pre,08/10/18,04:13:49,0.074935510791062,0.358432294999529,4.78321105840071,6.06931483146623,5.05360003070164E-05,0.000238061302693,0.000233286933977,0.000316837091701,4
Wash,08/10/18,04:18:44,0.000530785015768,0.00245024121879,4.60843272236927,6.31158310902484,2.65807306891297E-06,1.29506149051061E-05,0.012839287380019,0.018086014071382,4
Blank,08/10/18,04:21:56,0.000521258188368,0.002365284125605,4.54770060469477,6.39798816548312,2.53367224714211E-06,1.47618018602202E-05,0.015537452333922,0.022128378147145,4
L-SVEC,08/10/18,04:24:47,0.02670263047547,0.380194595034408,14.2380965858602,-1.01676454854121,2.54054926643919E-05,0.000360735492807,0.000773981913801,0.000353159085258,4
Wash,08/10/18,04:29:36,0.000507982830089,0.002441167096637,4.81474391948984,6.0271465062152,4.02329423007834E-06,1.76089615429259E-05,0.014289977121648,0.019327554778651,4
Blank,08/10/18,04:32:48,0.000497792452049,0.002351194992106,4.71406861897987,6.164388400335,2.54127998144348E-06,1.50002334571655E-05,0.013560095533416,0.018716704386179,4
C2.1 post,08/10/18,04:35:39,0.078911874352143,0.377226996962276,4.78049605157385,6.07300315466093,0.000106864599108,0.000503927455409,0.000221539132916,0.000301038884968,4
Wash,08/10/18,04:40:34,0.000534436407567,0.002483887124917,4.64930666770528,6.25405409352129,2.85677654514723E-06,1.63222454993654E-05,0.01061221650314,0.014814860338862,4
Blank,08/10/18,04:43:46,0.00051809821493,0.002377796045239,4.58250438105192,6.34824952187595,2.66369896149189E-06,1.51306730389308E-05,0.012918102478426,0.018392813606353,4
L-SVEC,08/10/18,04:46:38,0.026664610505552,0.379380278572873,14.228333932159,-1.01230859793334,2.13717746872228E-05,0.000312757258736,0.001063628541605,0.000485629838796,4
Wash,08/10/18,04:51:28,0.000519975669879,0.002504878538112,4.81772992617598,6.02348483762099,3.17891470262727E-06,1.61482754978035E-05,0.018208873568573,0.024573160306243,4
Blank,08/10/18,04:54:40,0.000519360823783,0.002453625168304,4.74555293666576,6.12094908095372,2.6661928295658E-06,1.58692303032275E-05,0.010842343592374,0.014827105584425,4
