,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,BOH4_HCO3,BT,depth_m,n,pHtot,temp_C,Core,comments,doi,lat,lon,sample_depth,shortref,species
29,350.1043123446225,64.97213765537748,415.07645,18.51216123780153,110.01806352600167,2165.7938631738148,2037.2636384100113,301.3,34.9475,2323.0923401724403,2.90445,330.20702210186465,210.77416054125692,207.7816248084448,213.76669627406903,,0.031914880897332576,415.376,3013.0,2.0,7.978448937283907,2.90445,T88 7B,R,10.1016/j.epsl.2007.03.025,50.5,26.5,core-top,Yu2007,C. wuellerstorfi
30,350.1043123446225,64.97213765537748,415.07645,18.51216123780153,110.01806352600167,2165.7938631738148,2037.2636384100113,301.3,34.9475,2323.0923401724403,2.90445,330.20702210186465,214.55135689323726,,,,0.031914880897332576,415.376,3013.0,1.0,7.978448937283907,2.90445,T88 7B,O,10.1016/j.epsl.2007.03.025,50.5,26.5,core-top,Yu2007,C. wuellerstorfi
31,348.1502211482037,66.91078856608215,415.0610097142858,17.84415146002423,113.20483591069578,2162.804763749285,2031.7557763785653,307.4,34.946200000000005,2325.921379770178,2.86077,317.7728144421332,204.19600063656145,,,,0.03295626233231837,415.3605485714286,3074.0,1.0,7.990937789446982,2.86077,T88 9B,R,10.1016/j.epsl.2007.03.025,48.4,25.1,core-top,Yu2007,C. wuellerstorfi
32,348.55590021409273,66.5276760716215,415.08357628571423,17.77977650104879,114.07603523809983,2153.027976722047,2021.1721649828978,274.1,34.9481,2316.7165450936805,3.04979,318.8593232025798,208.56685027388704,211.66749266514722,205.46620788262683,,0.03293914716325148,415.3831314285714,2741.0,2.0,8.003370546932274,3.04979,T88 11B,R,10.1016/j.epsl.2007.03.025,45.4,25.4,core-top,Yu2007,C. wuellerstorfi
33,349.55745392047487,65.46911207952525,415.0265660000001,18.386454353861055,110.97125347114728,2170.2007589837262,2040.8430511587185,305.2,34.94330000000001,2329.0802238550427,2.88629,327.73535358032575,208.3673747216128,210.5120403745544,206.22270906867118,,0.03210259574685752,415.32608000000005,3052.0,2.0,7.980601935438129,2.88629,T88 12B,R,10.1016/j.epsl.2007.03.025,44.1,24.9,core-top,Yu2007,C. wuellerstorfi
34,350.8648530801069,64.10589034846453,414.97074342857144,19.00831255270777,108.43603910575928,2183.294759494718,2055.850407836251,313.3,34.9386,2337.622983091392,2.77176,337.37011030447655,211.25739229508883,,,,0.031204679910793117,415.2702171428572,3133.0,1.0,7.966946834815115,2.77176,T88 13B,O,10.1016/j.epsl.2007.03.025,42.9,25.3,core-top,Yu2007,C. wuellerstorfi
35,350.1766471181553,64.87486088184473,415.051508,18.5060020963892,110.85752813588881,2167.643682014454,2038.2801517821758,285.8,34.9454,2325.6984746120147,2.96067,330.7828607275439,209.888874313397,,,,0.03185120521527859,415.35104,2858.0,1.0,7.985297108545343,2.96067,T88 14B,O,10.1016/j.epsl.2007.03.025,40.4,25.8,core-top,Yu2007,C. wuellerstorfi
36,351.12847267908455,63.92897389234409,415.0574465714286,18.81587863668112,109.81712920747444,2169.288057156651,2040.6550493124957,273.8,34.9459,2325.0389552348743,2.99981,336.8114740900617,225.42913487417908,,,,0.03135028127873933,415.3569828571429,2738.0,1.0,7.983661282002601,2.99981,T88 15aB,O,10.1016/j.epsl.2007.03.025,38.9,25.0,core-top,Yu2007,C. wuellerstorfi
37,351.8229606873371,63.252301598377265,415.0752622857144,19.234969849319004,107.88155331495946,2180.5659819620873,2053.4494587978093,293.4,34.94740000000001,2333.2620483945457,2.90772,343.1414552772244,209.3521474033022,,,,0.030825179985157193,415.3748114285715,2934.0,1.0,7.96884504972899,2.90772,T88 17B,R,10.1016/j.epsl.2007.03.025,35.4,29.4,core-top,Yu2007,C. wuellerstorfi
38,349.004729939642,65.61801320321511,414.6227431428572,18.832731050960604,108.87344324956666,2203.7267189454706,2076.020544644943,372.6,34.9093,2360.165653537396,2.51401,330.9970050802182,194.4279973862823,191.87931512137627,196.9766796511883,,0.031630403757475306,414.92196571428576,3726.0,2.0,7.9510875105215115,2.51401,T88 19B,R,10.1016/j.epsl.2007.03.025,31.308,30.475,core-top,Yu2007,C. wuellerstorfi
39,349.004729939642,65.61801320321511,414.6227431428572,18.832731050960604,108.87344324956666,2203.7267189454706,2076.020544644943,372.6,34.9093,2360.165653537396,2.51401,330.9970050802182,193.94767407383668,,,,0.031630403757475306,414.92196571428576,3726.0,1.0,7.9510875105215115,2.51401,T88 19B,O,10.1016/j.epsl.2007.03.025,31.308,30.475,core-top,Yu2007,C. wuellerstorfi
40,350.60934308302575,64.70346205983134,415.3128051428571,18.474900100376843,109.0678684507552,2153.722554398025,2026.1797858468922,291.1,34.9674,2309.8206702185926,2.62757,326.20100200194906,226.4581052072354,,,,0.03195676777391387,415.6125257142857,2911.0,1.0,7.9847671650922285,2.62757,T90-1B,O,10.1016/j.epsl.2007.03.025,58.5,20.493,core-top,Yu2007,C. wuellerstorfi
41,351.0580972427837,63.985096757216326,415.043194,18.765332538737503,109.59606460111071,2166.7404509808084,2038.3790538409608,273.1,34.9447,2322.3650421100187,2.79752,333.38917035156123,214.44008727377317,,,,0.031412839057324254,415.34272,2731.0,1.0,7.98701206830753,2.79752,T90-2B,O,10.1016/j.epsl.2007.03.025,53.1,20.8,core-top,Yu2007,C. wuellerstorfi
42,349.46227001414366,65.15928541442779,414.6215554285715,19.288048261752483,104.23209577611354,2205.0092579083876,2081.4891138705216,447.9,34.909200000000006,2355.862699513647,2.56814,339.6857996293741,197.82584870359068,,,,0.03132675965518091,414.92077714285716,4479.0,1.0,7.907004147352799,2.56814,T90-3B,O,10.1016/j.epsl.2007.03.025,47.673,20.808,core-top,Yu2007,C. wuellerstorfi
43,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,190.12188792359572,,,,0.03153383237029091,414.9802057142857,3945.0,1.0,7.937199480141921,2.55605,T90 4B,O,10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. wuellerstorfi
44,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,189.40007561252162,194.3381578223559,184.46199340268737,,0.03153383237029091,414.9802057142857,3945.0,2.0,7.937199480141921,2.55605,T90 4B,R,10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. wuellerstorfi
45,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,180.80760003278212,,,,0.03153383237029091,414.9802057142857,3945.0,1.0,7.937199480141921,2.55605,T90 4B,O,10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. wuellerstorfi
46,348.226444397726,66.5863330308454,414.8127774285714,18.45511704250202,110.32832280425856,2196.3605026804403,2067.57706283368,375.2,34.9253,2355.621503344269,2.64747,326.0121024629282,210.17835992501338,,,,0.03222824816200935,415.11213714285714,3752.0,1.0,7.955365056295535,2.64747,T90 7B,O,10.1016/j.epsl.2007.03.025,46.295,23.605,core-top,Yu2007,C. wuellerstorfi
47,348.226444397726,66.5863330308454,414.8127774285714,18.45511704250202,110.32832280425856,2196.3605026804403,2067.57706283368,375.2,34.9253,2355.621503344269,2.64747,326.0121024629282,200.1144614814892,192.01770080621827,204.57154830513636,203.75413533311297,0.03222824816200935,415.11213714285714,3752.0,3.0,7.955365056295535,2.64747,T90 7B,R,10.1016/j.epsl.2007.03.025,46.295,23.605,core-top,Yu2007,C. wuellerstorfi
48,348.226444397726,66.5863330308454,414.8127774285714,18.45511704250202,110.32832280425856,2196.3605026804403,2067.57706283368,375.2,34.9253,2355.621503344269,2.64747,326.0121024629282,212.319707441783,,,,0.03222824816200935,415.11213714285714,3752.0,1.0,7.955365056295535,2.64747,T90 7B,O,10.1016/j.epsl.2007.03.025,46.295,23.605,core-top,Yu2007,C. wuellerstorfi
49,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,189.80956747590943,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,R,10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. wuellerstorfi
50,347.24011190352047,67.38025581076536,414.6203677142858,17.155046333797458,118.74139001692602,2137.2920971638628,2001.3956608131396,216.2,34.90910000000001,2307.1795552352564,3.31248,310.5868895169322,223.9050869556137,217.25946243302698,231.29201637271504,223.16378206109908,0.03369093064849595,414.9195885714286,2162.0,3.0,8.03843507877812,3.31248,T90 10B,R,10.1016/j.epsl.2007.03.025,45.355,27.152,core-top,Yu2007,C. wuellerstorfi
51,350.1829213633602,64.79851149378266,414.9814328571429,18.707812243551697,108.91428335212501,2174.1429544639295,2046.520858868253,320.8,34.9395,2329.9512293674647,2.7872,332.2293444469744,199.26698085543057,,,,0.03168561641196822,415.28091428571435,3208.0,1.0,7.96826977103843,2.7872,T90 11B,R,10.1016/j.epsl.2007.03.025,45.0,24.66,core-top,Yu2007,C. wuellerstorfi
52,350.8369903265405,63.858203387745256,414.6951937142857,19.57718408810802,104.05745677674203,2202.3176884832355,2078.6830476183854,401.6,34.9154,2351.4044350337813,2.57709,344.90584018413136,190.01935230137684,187.1884832928918,192.85022130986192,,0.03074268021966674,414.99446857142857,4016.0,2.0,7.920851333164139,2.57709,T90 13B,R,10.1016/j.epsl.2007.03.025,44.0,20.017,core-top,Yu2007,C. wuellerstorfi
53,349.7132041732745,64.90478811243977,414.6179922857143,19.240423063142437,105.13235009442317,2201.8548653753905,2077.482092217825,417.7,34.9089,2353.407868174238,2.55332,338.6588881168401,195.3574940474876,,,,0.0312645911472631,414.9172114285715,4177.0,1.0,7.921102555039386,2.55332,T90 15B,R,10.1016/j.epsl.2007.03.025,47.6,20.922,core-top,Yu2007,C. wuellerstorfi
54,350.37971719240943,64.29172223616213,414.67143942857155,19.241861024158258,106.87721758580413,2200.6447992108688,2074.5257206009064,360.0,34.91340000000001,2353.3371115476116,2.51248,338.1766243307178,208.7714047859425,,,,0.031013411537823554,414.9706971428572,3600.0,1.0,7.947205566973908,2.51248,CD113A-SiteA,R,10.1016/j.epsl.2007.03.025,52.92,16.92,0-1,Yu2007,C. wuellerstorfi
55,350.37971719240943,64.29172223616213,414.67143942857155,19.241861024158258,106.87721758580413,2200.6447992108688,2074.5257206009064,360.0,34.91340000000001,2353.3371115476116,2.51248,338.1766243307178,218.0196349188792,,,,0.031013411537823554,414.9706971428572,3600.0,1.0,7.947205566973908,2.51248,CD113A-SiteA,O,10.1016/j.epsl.2007.03.025,52.92,16.92,0-1,Yu2007,C. wuellerstorfi
56,350.37971719240943,64.29172223616213,414.67143942857155,19.241861024158258,106.87721758580413,2200.6447992108688,2074.5257206009064,360.0,34.91340000000001,2353.3371115476116,2.51248,338.1766243307178,204.8849661362501,,,,0.031013411537823554,414.9706971428572,3600.0,1.0,7.947205566973908,2.51248,CD113A-SiteA,R,10.1016/j.epsl.2007.03.025,52.92,16.92,0-1,Yu2007,C. wuellerstorfi
57,348.75072912869365,66.17844429987785,414.9291734285715,17.507568440315122,118.34257673617655,2140.799843822586,2004.9496986460938,190.0,34.935100000000006,2308.7422706646407,3.56951,320.0326932420274,223.42774879990037,,,,0.0330313541661559,415.22861714285716,1900.0,1.0,8.03939091562473,3.56951,CD113A-SiteC,R,10.1016/j.epsl.2007.03.025,57.91,12.52,6-10,Yu2007,C. wuellerstorfi
58,348.75072912869365,66.17844429987785,414.9291734285715,17.507568440315122,118.34257673617655,2140.799843822586,2004.9496986460938,190.0,34.935100000000006,2308.7422706646407,3.56951,320.0326932420274,218.62361841560505,,,,0.0330313541661559,415.22861714285716,1900.0,1.0,8.03939091562473,3.56951,CD113A-SiteC,O,10.1016/j.epsl.2007.03.025,57.91,12.52,6-10,Yu2007,C. wuellerstorfi
59,349.8316133372862,64.85051551985661,414.68212885714286,18.987738979024044,108.0388250736108,2197.0500879665833,2070.0235239139483,354.7,34.9143,2351.7268792359914,2.51206,333.70696388140516,204.97852528422774,,,,0.031351004333770686,414.98139428571426,3547.0,1.0,7.954463623620302,2.51206,BOFS 5K,R,10.1016/j.epsl.2007.03.025,50.7,21.9,2-3,Yu2007,C. wuellerstorfi
60,349.8741516446232,64.7604686410911,414.6346202857143,19.168188748818164,105.0868803370117,2193.113870516781,2068.8588014309507,404.5,34.9103,2344.550144443637,2.52469,337.02943719152614,196.44155078412675,,,,0.031325097953096896,414.9338514285714,4045.0,1.0,7.92724724583305,2.52469,BOFS 8K,R,10.1016/j.epsl.2007.03.025,52.5,22.1,4-5,Yu2007,C. wuellerstorfi
61,347.9770431685905,66.84286054569525,414.8199037142857,17.306056806746405,118.83088420996252,2139.5583803994523,2003.4214393827433,200.4,34.9259,2308.8515944559276,3.42071,314.6049413097601,223.78896484579099,222.11093697357,225.466992718012,,0.03338843141253994,415.11926857142856,2004.0,2.0,8.04105171942397,3.42071,BOFS 11K,R,10.1016/j.epsl.2007.03.025,55.2,20.4,2-3,Yu2007,C. wuellerstorfi
62,347.9770431685905,66.84286054569525,414.8199037142857,17.306056806746405,118.83088420996252,2139.5583803994523,2003.4214393827433,200.4,34.9259,2308.8515944559276,3.42071,314.6049413097601,224.23501588314818,,,,0.03338843141253994,415.11926857142856,2004.0,1.0,8.04105171942397,3.42071,BOFS 11K,O,10.1016/j.epsl.2007.03.025,55.2,20.4,2-3,Yu2007,C. wuellerstorfi
