,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,calculated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,metadata,metadata,metadata,metadata,metadata,metadata,metadata,metadata
,BO3,BO4,BT,CO2,CO3,DIC,HCO3,P_in,S_in,TA,T_in,pCO2,B/Ca,B/Ca.1,B/Ca.2,B/Ca.3,BOH4_HCO3,BT,depth_m,n,pHtot,temp_C,Core,comments,doi,lat,lon,sample_depth,shortref,species
135,371.7433255831316,39.66308727401145,411.40641285714304,34.53626848438216,72.15726521441933,2334.7698696145276,2228.076335915726,201.5,34.63850000000001,2412.5095088834346,2.20428,599.0223037972871,192.02621372405025,,,,0.01781434076755793,411.7033142857143,2015.0,1.0,7.802059305005328,2.20428,1.5BC33,O,10.1016/j.epsl.2007.03.025,-0.9976666666666667,-157.84866666666667,core-top,Yu2007,C. wuellerstorfi
136,371.7433255831316,39.66308727401145,411.40641285714304,34.53626848438216,72.15726521441933,2334.7698696145276,2228.076335915726,201.5,34.63850000000001,2412.5095088834346,2.20428,599.0223037972871,206.21949891025662,,,,0.01781434076755793,411.7033142857143,2015.0,1.0,7.802059305005328,2.20428,1.5BC33,O,10.1016/j.epsl.2007.03.025,-0.9976666666666667,-157.84866666666667,core-top,Yu2007,C. wuellerstorfi
137,371.7433255831316,39.66308727401145,411.40641285714304,34.53626848438216,72.15726521441933,2334.7698696145276,2228.076335915726,201.5,34.63850000000001,2412.5095088834346,2.20428,599.0223037972871,185.94864475784559,,,,0.01781434076755793,411.7033142857143,2015.0,1.0,7.802059305005328,2.20428,1.5BC33,O,10.1016/j.epsl.2007.03.025,-0.9976666666666667,-157.84866666666667,core-top,Yu2007,C. wuellerstorfi
138,371.7433255831316,39.66308727401145,411.40641285714304,34.53626848438216,72.15726521441933,2334.7698696145276,2228.076335915726,201.5,34.63850000000001,2412.5095088834346,2.20428,599.0223037972871,183.5737511451902,,,,0.01781434076755793,411.7033142857143,2015.0,1.0,7.802059305005328,2.20428,1.5BC33,O,10.1016/j.epsl.2007.03.025,-0.9976666666666667,-157.84866666666667,core-top,Yu2007,C. wuellerstorfi
139,372.40485471068075,38.6036738607478,411.0085285714286,35.159322254607645,71.75719790230346,2323.273119279849,2216.3565991229384,161.4,34.605,2398.9487736512465,2.84944,624.5938196096918,203.8801670169057,207.02061996137533,200.73971407243604,,0.01743019744870545,411.3051428571428,1614.0,2.0,7.803124613210643,2.84944,1BC7,R,10.1016/j.epsl.2007.03.025,-2.1791666666666667,-157.00133333333332,core-top,Yu2007,C. wuellerstorfi
140,372.40485471068075,38.6036738607478,411.0085285714286,35.159322254607645,71.75719790230346,2323.273119279849,2216.3565991229384,161.4,34.605,2398.9487736512465,2.84944,624.5938196096918,191.52243636451445,,,,0.01743019744870545,411.3051428571428,1614.0,1.0,7.803124613210643,2.84944,1BC7,O,10.1016/j.epsl.2007.03.025,-2.1791666666666667,-157.00133333333332,core-top,Yu2007,C. wuellerstorfi
141,372.40485471068075,38.6036738607478,411.0085285714286,35.159322254607645,71.75719790230346,2323.273119279849,2216.3565991229384,161.4,34.605,2398.9487736512465,2.84944,624.5938196096918,193.160377661682,,,,0.01743019744870545,411.3051428571428,1614.0,1.0,7.803124613210643,2.84944,1BC7,O,10.1016/j.epsl.2007.03.025,-2.1791666666666667,-157.00133333333332,core-top,Yu2007,C. wuellerstorfi
142,372.4059421977883,38.60139865935458,411.0073408571429,35.16230130879293,71.74338096267863,2323.2434024730233,2216.337720201552,161.6,34.6049,2398.899869119185,2.84837,624.6215128201021,198.53133272009393,194.09155101687114,202.9711144233167,,0.017429318620536614,411.3039542857143,1616.0,2.0,7.803003894594378,2.84837,1BC3,R,10.1016/j.epsl.2007.03.025,-2.2426666666666666,-156.99783333333335,core-top,Yu2007,C. wuellerstorfi
143,372.4059421977883,38.60139865935458,411.0073408571429,35.16230130879293,71.74338096267863,2323.2434024730233,2216.337720201552,161.6,34.6049,2398.899869119185,2.84837,624.6215128201021,191.52820496091226,,,,0.017429318620536614,411.3039542857143,1616.0,1.0,7.803003894594378,2.84837,1BC3,O,10.1016/j.epsl.2007.03.025,-2.2426666666666666,-156.99783333333335,core-top,Yu2007,C. wuellerstorfi
144,372.4059421977883,38.60139865935458,411.0073408571429,35.16230130879293,71.74338096267863,2323.2434024730233,2216.337720201552,161.6,34.6049,2398.899869119185,2.84837,624.6215128201021,194.81303735022482,,,,0.017429318620536614,411.3039542857143,1616.0,1.0,7.803003894594378,2.84837,1BC3,O,10.1016/j.epsl.2007.03.025,-2.2426666666666666,-156.99783333333335,core-top,Yu2007,C. wuellerstorfi
145,371.74435068877415,39.66324988265439,411.40760057142853,34.5370261900995,72.15313533895838,2334.7842201614326,2228.0940586323745,201.6,34.6386,2412.519069994853,2.2031,599.0092334657979,184.29635577311973,184.53381068655142,184.058900859688,,0.01781427210235967,411.7045028571428,2016.0,2.0,7.802020276559667,2.2031,1.5BC11,R,10.1016/j.epsl.2007.03.025,-1.0166666666666666,-157.83333333333334,core-top,Yu2007,C. wuellerstorfi
146,371.74435068877415,39.66324988265439,411.40760057142853,34.5370261900995,72.15313533895838,2334.7842201614326,2228.0940586323745,201.6,34.6386,2412.519069994853,2.2031,599.0092334657979,187.90429023504169,,,,0.01781427210235967,411.7045028571428,2016.0,1.0,7.802020276559667,2.2031,1.5BC11,O,10.1016/j.epsl.2007.03.025,-1.0166666666666666,-157.83333333333334,core-top,Yu2007,C. wuellerstorfi
147,371.57153468346627,39.969089887962376,411.5406245714286,34.47324588477755,71.57648095686486,2338.0862006571692,2232.0364738155267,230.1,34.6498,2415.6035184310945,1.97669,592.866327451238,183.27073477408032,,,,0.01791992873840857,411.83762285714283,2301.0,1.0,7.792947267027105,1.97669,2BC13,O,10.1016/j.epsl.2007.03.025,0.008,-158.9128,core-top,Yu2007,C. wuellerstorfi
148,371.57153468346627,39.969089887962376,411.5406245714286,34.47324588477755,71.57648095686486,2338.0862006571692,2232.0364738155267,230.1,34.6498,2415.6035184310945,1.97669,592.866327451238,178.34326460604655,,,,0.01791992873840857,411.83762285714283,2301.0,1.0,7.792947267027105,1.97669,2BC13,O,10.1016/j.epsl.2007.03.025,0.008,-158.9128,core-top,Yu2007,C. wuellerstorfi
149,369.1405330041142,42.616255567314425,411.75678857142856,32.433511632791536,73.7949710199291,2335.550217751433,2229.3217350987125,295.9,34.668,2419.981047532953,1.66253,551.2578328974456,190.33479157957936,,,,0.01913003850077469,412.0539428571429,2959.0,1.0,7.791936535395992,1.66253,3BC16,R,10.1016/j.epsl.2007.03.025,0.013833333333333333,-160.45166666666665,core-top,Yu2007,C. wuellerstorfi
150,369.1174882118749,42.639300359553616,411.75678857142856,32.41654717680731,73.81379600209247,2335.4991119523293,2229.2687687734297,296.5,34.668,2419.988927271902,1.66233,550.9653166722763,183.92145572516313,,,,0.01914083785850682,412.0539428571429,2965.0,1.0,7.791877300919373,1.66233,3BC24,R,10.1016/j.epsl.2007.03.025,0.007833333333333333,-160.42533333333333,core-top,Yu2007,C. wuellerstorfi
151,366.22506514122625,45.65643343020228,411.88149857142855,30.097214284022566,77.24809757710526,2324.16555581014,2216.8202439490124,341.1,34.6785,2417.449002517903,1.53607,509.13078081365484,174.85923465241024,,,,0.02061032356089148,412.1787428571429,3411.0,1.0,7.802468820424494,1.53607,4BC51,R,10.1016/j.epsl.2007.03.025,-0.0235,-161.0165,core-top,Yu2007,C. wuellerstorfi
152,366.22506514122625,45.65643343020228,411.88149857142855,30.097214284022566,77.24809757710526,2324.16555581014,2216.8202439490124,341.1,34.6785,2417.449002517903,1.53607,509.13078081365484,163.39445788408236,,,,0.02061032356089148,412.1787428571429,3411.0,1.0,7.802468820424494,1.53607,4BC51,O,10.1016/j.epsl.2007.03.025,-0.0235,-161.0165,core-top,Yu2007,C. wuellerstorfi
153,366.22506514122625,45.65643343020228,411.88149857142855,30.097214284022566,77.24809757710526,2324.16555581014,2216.8202439490124,341.1,34.6785,2417.449002517903,1.53607,509.13078081365484,149.49881352155006,,,,0.02061032356089148,412.1787428571429,3411.0,1.0,7.802468820424494,1.53607,4BC51,O,10.1016/j.epsl.2007.03.025,-0.0235,-161.0165,core-top,Yu2007,C. wuellerstorfi
154,363.04911731790156,49.06754868209853,412.11666600000007,27.919950674438052,78.24803504735208,2296.357474025433,2190.189488303643,443.8,34.6983,2396.238333476139,1.34237,468.8858481441899,168.71184081218917,,,,0.022419502847769335,412.41408000000007,4438.0,1.0,7.784786278637416,1.34237,6BC74,"R,r",10.1016/j.epsl.2007.03.025,0.0006666666666666666,-162.73466666666667,core-top,Yu2007,C. wuellerstorfi
155,363.04911731790156,49.06754868209853,412.11666600000007,27.919950674438052,78.24803504735208,2296.357474025433,2190.189488303643,443.8,34.6983,2396.238333476139,1.34237,468.8858481441899,133.22695238299204,,,,0.022419502847769335,412.41408000000007,4438.0,1.0,7.784786278637416,1.34237,6BC74,O,10.1016/j.epsl.2007.03.025,0.0006666666666666666,-162.73466666666667,core-top,Yu2007,C. wuellerstorfi
156,370.6146789676343,41.01739960379431,411.6320785714286,33.5664615178889,72.96005202670831,2337.3620091368434,2230.835495592246,244.5,34.6575,2418.225180144517,1.88403,575.2818548435652,176.50138093394497,,,,0.018399833106206527,411.92914285714284,2445.0,1.0,7.798649438279426,1.88403,2.5BC37,O,10.1016/j.epsl.2007.03.025,0.004666666666666667,-159.48383333333334,core-top,Yu2007,C. wuellerstorfi
157,370.6146789676343,41.01739960379431,411.6320785714286,33.5664615178889,72.96005202670831,2337.3620091368434,2230.835495592246,244.5,34.6575,2418.225180144517,1.88403,575.2818548435652,171.00478413596514,,,,0.018399833106206527,411.92914285714284,2445.0,1.0,7.798649438279426,1.88403,2.5BC37,O,10.1016/j.epsl.2007.03.025,0.004666666666666667,-159.48383333333334,core-top,Yu2007,C. wuellerstorfi
158,366.1038090951041,45.85726633346733,411.96107542857146,30.085016732258925,76.27351074437256,2321.310716373923,2214.9521888972913,371.1,34.6852,2413.825341010175,1.46889,507.6464151663549,157.8908456396275,,,,0.020718442850983936,412.25837714285717,3711.0,1.0,7.789191371218973,1.46889,4.5BC53,O,10.1016/j.epsl.2007.03.025,-0.008833333333333334,-161.38866666666667,core-top,Yu2007,C. wuellerstorfi
159,366.1038090951041,45.85726633346733,411.96107542857146,30.085016732258925,76.27351074437256,2321.310716373923,2214.9521888972913,371.1,34.6852,2413.825341010175,1.46889,507.6464151663549,151.6232385107687,,,,0.020718442850983936,412.25837714285717,3711.0,1.0,7.789191371218973,1.46889,4.5BC53,O,10.1016/j.epsl.2007.03.025,-0.008833333333333334,-161.38866666666667,core-top,Yu2007,C. wuellerstorfi
1,349.55745392047487,65.46911207952525,415.0265660000001,18.386454353861055,110.97125347114728,2170.2007589837262,2040.8430511587185,305.2,34.94330000000001,2329.0802238550427,2.88629,327.73535358032575,136.14509351136812,138.70447783923996,130.8753668851957,138.8554358096687,0.03210259574685752,415.32608000000005,3052.0,3.0,7.980601935438129,2.88629,T88 12B,R,10.1016/j.epsl.2007.03.025,44.1,24.9,core-top,Yu2007,C. mundulus
2,349.55745392047487,65.46911207952525,415.0265660000001,18.386454353861055,110.97125347114728,2170.2007589837262,2040.8430511587185,305.2,34.94330000000001,2329.0802238550427,2.88629,327.73535358032575,146.99063072855952,,,,0.03210259574685752,415.32608000000005,3052.0,1.0,7.980601935438129,2.88629,T88 12B,O,10.1016/j.epsl.2007.03.025,44.1,24.9,core-top,Yu2007,C. mundulus
3,350.8648530801069,64.10589034846453,414.97074342857144,19.00831255270777,108.43603910575928,2183.294759494718,2055.850407836251,313.3,34.9386,2337.622983091392,2.77176,337.37011030447655,138.303991186313,,,,0.031204679910793117,415.2702171428572,3133.0,1.0,7.966946834815115,2.77176,T88 13B,R,10.1016/j.epsl.2007.03.025,42.9,25.3,core-top,Yu2007,C. mundulus
4,350.1766471181553,64.87486088184473,415.051508,18.5060020963892,110.85752813588881,2167.643682014454,2038.2801517821758,285.8,34.9454,2325.6984746120147,2.96067,330.7828607275439,145.72291724046593,,,,0.03185120521527859,415.35104,2858.0,1.0,7.985297108545343,2.96067,T88 14B,R,10.1016/j.epsl.2007.03.025,40.4,25.8,core-top,Yu2007,C. mundulus
5,351.12847267908455,63.92897389234409,415.0574465714286,18.81587863668112,109.81712920747444,2169.288057156651,2040.6550493124957,273.8,34.9459,2325.0389552348743,2.99981,336.8114740900617,143.65826026758307,,,,0.03135028127873933,415.3569828571429,2738.0,1.0,7.983661282002601,2.99981,T88 15aB,R,10.1016/j.epsl.2007.03.025,38.9,25.0,core-top,Yu2007,C. mundulus
6,351.8229606873371,63.252301598377265,415.0752622857144,19.234969849319004,107.88155331495946,2180.5659819620873,2053.4494587978093,293.4,34.94740000000001,2333.2620483945457,2.90772,343.1414552772244,156.7517987040933,,,,0.030825179985157193,415.3748114285715,2934.0,1.0,7.96884504972899,2.90772,T88 17B,R,10.1016/j.epsl.2007.03.025,35.4,29.4,core-top,Yu2007,C. mundulus
7,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,119.44193614097337,,,,0.03153383237029091,414.9802057142857,3945.0,1.0,7.937199480141921,2.55605,T90 4B,O,10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. mundulus
8,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,123.91615287055114,123.45940257045982,124.37290317064249,,0.03153383237029091,414.9802057142857,3945.0,2.0,7.937199480141921,2.55605,T90 4B,R,10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. mundulus
9,349.27556773012356,65.4053734127336,414.6809411428572,18.977406663734456,107.25890494176399,2201.8665115823433,2075.6301999768443,394.5,34.9142,2356.325139973056,2.55605,334.07403513887004,124.65293652460382,,,,0.03153383237029091,414.9802057142857,3945.0,1.0,7.937199480141921,2.55605,T90 4B,"R, RB",10.1016/j.epsl.2007.03.025,47.2,21.387,core-top,Yu2007,C. mundulus
10,348.34444106708895,66.66906007576821,415.0135011428572,17.951183608519933,112.98756501066612,2166.517947736955,2035.5791991177691,306.9,34.9422,2329.0659995835526,2.87411,319.829827267223,141.4529450916557,,,,0.032775523276569914,415.31300571428574,3069.0,1.0,7.989247920908519,2.87411,T90 5B,R,10.1016/j.epsl.2007.03.025,46.0,23.848,core-top,Yu2007,C. mundulus
11,348.34444106708895,66.66906007576821,415.0135011428572,17.951183608519933,112.98756501066612,2166.517947736955,2035.5791991177691,306.9,34.9422,2329.0659995835526,2.87411,319.829827267223,136.0864307544228,,,,0.032775523276569914,415.31300571428574,3069.0,1.0,7.989247920908519,2.87411,T90 5B,O,10.1016/j.epsl.2007.03.025,46.0,23.848,core-top,Yu2007,C. mundulus
12,348.226444397726,66.5863330308454,414.8127774285714,18.45511704250202,110.32832280425856,2196.3605026804403,2067.57706283368,375.2,34.9253,2355.621503344269,2.64747,326.0121024629282,144.93307643044164,,,,0.03222824816200935,415.11213714285714,3752.0,1.0,7.955365056295535,2.64747,T90 7B,R,10.1016/j.epsl.2007.03.025,46.295,23.605,core-top,Yu2007,C. mundulus
13,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,134.66416211121506,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,R,10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. mundulus
14,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,139.72392353059374,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,O,10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. mundulus
15,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,135.88387954727813,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,"R, RB",10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. mundulus
16,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,131.9214260615229,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,O,10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. mundulus
17,350.7223991321993,64.19014629637213,414.9125454285715,19.12365145494628,107.53826059882391,2189.3574085455753,2062.695496491805,339.3,34.9337,2342.7504134815445,2.79718,339.7286308818207,131.83168991920215,,,,0.031142003646934046,415.21197714285717,3393.0,1.0,7.953569727475462,2.79718,T90 8B,O,10.1016/j.epsl.2007.03.025,46.2,23.715,core-top,Yu2007,C. mundulus
18,347.24011190352047,67.38025581076536,414.6203677142858,17.155046333797458,118.74139001692602,2137.2920971638628,2001.3956608131396,216.2,34.90910000000001,2307.1795552352564,3.31248,310.5868895169322,169.2635656759008,,,,0.03369093064849595,414.9195885714286,2162.0,1.0,8.03843507877812,3.31248,T90 10B,R,10.1016/j.epsl.2007.03.025,45.355,27.152,core-top,Yu2007,C. mundulus
19,350.1829213633602,64.79851149378266,414.9814328571429,18.707812243551697,108.91428335212501,2174.1429544639295,2046.520858868253,320.8,34.9395,2329.9512293674647,2.7872,332.2293444469744,142.65847495589773,,,,0.03168561641196822,415.28091428571435,3208.0,1.0,7.96826977103843,2.7872,T90 11B,R,10.1016/j.epsl.2007.03.025,45.0,24.66,core-top,Yu2007,C. mundulus
20,350.1829213633602,64.79851149378266,414.9814328571429,18.707812243551697,108.91428335212501,2174.1429544639295,2046.520858868253,320.8,34.9395,2329.9512293674647,2.7872,332.2293444469744,146.83508386989175,,,,0.03168561641196822,415.28091428571435,3208.0,1.0,7.96826977103843,2.7872,T90 11B,O,10.1016/j.epsl.2007.03.025,45.0,24.66,core-top,Yu2007,C. mundulus
21,350.1829213633602,64.79851149378266,414.9814328571429,18.707812243551697,108.91428335212501,2174.1429544639295,2046.520858868253,320.8,34.9395,2329.9512293674647,2.7872,332.2293444469744,144.0,,,,0.03168561641196822,415.28091428571435,3208.0,1.0,7.96826977103843,2.7872,T90 11B,"R, RB",10.1016/j.epsl.2007.03.025,45.0,24.66,core-top,Yu2007,C. mundulus
22,350.8369903265405,63.858203387745256,414.6951937142857,19.57718408810802,104.05745677674203,2202.3176884832355,2078.6830476183854,401.6,34.9154,2351.4044350337813,2.57709,344.90584018413136,124.01075815768321,,,,0.03074268021966674,414.99446857142857,4016.0,1.0,7.920851333164139,2.57709,T90 13B,R,10.1016/j.epsl.2007.03.025,44.0,20.017,core-top,Yu2007,C. mundulus
23,350.8369903265405,63.858203387745256,414.6951937142857,19.57718408810802,104.05745677674203,2202.3176884832355,2078.6830476183854,401.6,34.9154,2351.4044350337813,2.57709,344.90584018413136,125.36027226537641,,,,0.03074268021966674,414.99446857142857,4016.0,1.0,7.920851333164139,2.57709,T90 13B,O,10.1016/j.epsl.2007.03.025,44.0,20.017,core-top,Yu2007,C. mundulus
24,350.8369903265405,63.858203387745256,414.6951937142857,19.57718408810802,104.05745677674203,2202.3176884832355,2078.6830476183854,401.6,34.9154,2351.4044350337813,2.57709,344.90584018413136,131.8097753916057,,,,0.03074268021966674,414.99446857142857,4016.0,1.0,7.920851333164139,2.57709,T90 13B,"O, RB",10.1016/j.epsl.2007.03.025,44.0,20.017,core-top,Yu2007,C. mundulus
25,349.7132041732745,64.90478811243977,414.6179922857143,19.240423063142437,105.13235009442317,2201.8548653753905,2077.482092217825,417.7,34.9089,2353.407868174238,2.55332,338.6588881168401,119.70007648169964,,,,0.0312645911472631,414.9172114285715,4177.0,1.0,7.921102555039386,2.55332,T90 15B,R,10.1016/j.epsl.2007.03.025,47.6,20.922,core-top,Yu2007,C. mundulus
26,349.7132041732745,64.90478811243977,414.6179922857143,19.240423063142437,105.13235009442317,2201.8548653753905,2077.482092217825,417.7,34.9089,2353.407868174238,2.55332,338.6588881168401,114.76898912656038,,,,0.0312645911472631,414.9172114285715,4177.0,1.0,7.921102555039386,2.55332,T90 15B,O,10.1016/j.epsl.2007.03.025,47.6,20.922,core-top,Yu2007,C. mundulus
27,350.37971719240943,64.29172223616213,414.67143942857155,19.241861024158258,106.87721758580413,2200.6447992108688,2074.5257206009064,360.0,34.91340000000001,2353.3371115476116,2.51248,338.1766243307178,124.34480635984477,129.02366645079502,119.66594626889453,,0.031013411537823554,414.9706971428572,3600.0,2.0,7.947205566973908,2.51248,CD113A-SiteA,R,10.1016/j.epsl.2007.03.025,52.92,16.92,0-1,Yu2007,C. mundulus
28,347.7656221631841,69.1684129796731,416.9340351428572,16.404836615638132,131.60005142276307,2130.0180214434113,1982.01313340501,110.0,35.1039,2315.598100739171,6.00236,327.6556414762415,171.63169020605633,,,,0.03492324489580708,417.23492571428574,1100.0,1.0,8.070582782926534,6.00236,CD113A-SiteB,R,10.1016/j.epsl.2007.03.025,57.43,15.68,3-8,Yu2007,C. mundulus
29,347.7656221631841,69.1684129796731,416.9340351428572,16.404836615638132,131.60005142276307,2130.0180214434113,1982.01313340501,110.0,35.1039,2315.598100739171,6.00236,327.6556414762415,165.10325314934263,,,,0.03492324489580708,417.23492571428574,1100.0,1.0,8.070582782926534,6.00236,CD113A-SiteB,O,10.1016/j.epsl.2007.03.025,57.43,15.68,3-8,Yu2007,C. mundulus
30,347.9770431685905,66.84286054569525,414.8199037142857,17.306056806746405,118.83088420996252,2139.5583803994523,2003.4214393827433,200.4,34.9259,2308.8515944559276,3.42071,314.6049413097601,163.33772007773462,,,,0.03338843141253994,415.11926857142856,2004.0,1.0,8.04105171942397,3.42071,BOFS 11K,R,10.1016/j.epsl.2007.03.025,55.2,20.4,2-3,Yu2007,C. mundulus
31,348.78655075279363,65.64378267577774,414.43033342857143,17.54826908590981,117.7116580025085,2134.1612979317865,1998.901370843368,175.6,34.8931,2300.885971328651,3.4393,319.1644935008207,157.1931479606066,,,,0.03286363052417413,414.72941714285713,1756.0,1.0,8.045425192492608,3.4393,BOFS 14K,R,10.1016/j.epsl.2007.03.025,58.6,19.4,0-1,Yu2007,C. mundulus
32,348.78655075279363,65.64378267577774,414.43033342857143,17.54826908590981,117.7116580025085,2134.1612979317865,1998.901370843368,175.6,34.8931,2300.885971328651,3.4393,319.1644935008207,159.50226911114584,,,,0.03286363052417413,414.72941714285713,1756.0,1.0,8.045425192492608,3.4393,BOFS 14K,O,10.1016/j.epsl.2007.03.025,58.6,19.4,0-1,Yu2007,C. mundulus
33,350.929456554911,65.50930173080324,416.43875828571424,17.60980691225448,123.48907919359611,2139.4642361620045,1998.365350056154,115.0,35.0622,2311.9478454565806,5.49653,345.3908502445088,165.76885158530672,,,,0.03280510148327245,416.7392914285714,1150.0,1.0,8.047075299340415,5.49653,BOFS 17K,R,10.1016/j.epsl.2007.03.025,58.0,16.5,2-3,Yu2007,C. mundulus
34,350.929456554911,65.50930173080324,416.43875828571424,17.60980691225448,123.48907919359611,2139.4642361620045,1998.365350056154,115.0,35.0622,2311.9478454565806,5.49653,345.3908502445088,168.49477873556035,,,,0.03280510148327245,416.7392914285714,1150.0,1.0,8.047075299340415,5.49653,BOFS 17K,O,10.1016/j.epsl.2007.03.025,58.0,16.5,2-3,Yu2007,C. mundulus
35,351.9265355963171,62.678391832254334,414.60492742857144,19.916957648418606,104.90505028789529,2212.7586793953824,2087.9366714590683,350.0,34.9078,2361.168708985431,2.47978,349.601974086161,138.9894840072214,142.347292329881,135.6316756845618,,0.030040961525902805,414.90413714285717,3500.0,2.0,7.939998936359079,2.47978,BOFS 30K,R,10.1016/j.epsl.2007.03.025,19.75,20.73,5-6,Yu2007,C. mundulus
36,363.75794258776864,49.20318826937425,412.96113085714285,25.852198934875787,86.81671147520869,2221.913063867172,2109.244153457087,208.2,34.7694,2332.684538194853,2.63249,456.00427467923095,142.041583155367,146.62448469278115,137.4586816179528,,0.0233442377281704,413.25915428571426,2082.0,2.0,7.895337130222214,2.63249,ODP1088,R,10.1016/j.epsl.2007.03.025,-41.08,-13.34,2-9,Yu2007,C. mundulus
37,349.8953625424981,65.24641174321619,415.14177428571435,18.271866618409437,112.36622784950784,2161.0650052474184,2030.4269107795014,269.6,34.953,2321.2585848222698,3.15165,328.932247542848,149.179881478315,,,,0.032157522171359455,415.4413714285715,2696.0,1.0,7.994377314576802,3.15165,M35010-2,O,10.1016/j.epsl.2007.03.025,18.933,64.09,0-1,Yu2007,C. mundulus
38,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,137.08577615184905,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,O,10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. mundulus
39,352.4279213420092,62.68534780084802,415.1132691428572,19.44667167268253,107.59925516017601,2180.910657565982,2053.864730733123,288.5,34.9506,2332.5676068363196,3.36001,352.7807016171129,145.08272832236776,,,,0.030542705790546007,415.41284571428577,2885.0,1.0,7.961235831962368,3.36001,M35004-1,O,10.1016/j.epsl.2007.03.025,14.41,61.662,0-1,Yu2007,C. mundulus
40,353.0800501212865,62.01302787871353,415.093078,19.39982514372015,108.8220954832523,2172.456319880934,2044.2343992539622,229.8,34.9489,2324.7074500793337,3.14431,349.13455461945586,142.02978341970564,,,,0.03035746835532924,415.39264000000003,2298.0,1.0,7.9897638284940555,3.14431,GeoB1503-2,O,10.1016/j.epsl.2007.03.025,2.31,30.648,0-1,Yu2007,C. mundulus
41,350.06869456007996,64.7072637256343,414.7759582857143,18.689661017204415,110.20230417528828,2179.585006639647,2050.6930414471544,298.0,34.9222,2336.6101423170044,2.70222,330.8240230404025,137.87807797969964,,,,0.03157662311477823,415.0752914285714,2980.0,1.0,7.981088936521063,2.70222,GeoB1504-1,O,10.1016/j.epsl.2007.03.025,2.288,31.287,0-1,Yu2007,C. mundulus
42,350.06869456007996,64.7072637256343,414.7759582857143,18.689661017204415,110.20230417528828,2179.585006639647,2050.6930414471544,298.0,34.9222,2336.6101423170044,2.70222,330.8240230404025,148.52161663348008,,,,0.03157662311477823,415.0752914285714,2980.0,1.0,7.981088936521063,2.70222,GeoB1504-1,"O, RB",10.1016/j.epsl.2007.03.025,2.288,31.287,0-1,Yu2007,C. mundulus
43,349.8952617878504,64.76192506929247,414.6571868571429,18.775353446034085,108.4351672265981,2179.799879665283,2052.5893589926504,329.1,34.9122,2335.0063058984842,2.53781,330.2879883773056,134.04278043388305,,,,0.03157410019753072,414.9564342857143,3291.0,1.0,7.967128417181472,2.53781,GeoB1523-2,O,10.1016/j.epsl.2007.03.025,3.815,41.622,0-1,Yu2007,C. mundulus
44,350.92672135139856,63.5701240771729,414.4968454285714,19.327416591610547,103.63588834719071,2176.929946580305,2053.966641641504,370.9,34.8987,2325.5492928418084,2.33521,337.4033549623875,127.34221186560147,,,,0.03097226591281471,414.7959771428571,3709.0,1.0,7.938027641464317,2.33521,GeoB4406-2,O,10.1016/j.epsl.2007.03.025,5.09,43.762,0-1,Yu2007,C. mundulus
